title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"3084331",79,Done,1.594,-5.51456,"glide-grid_1",-5.51456,-1.83617,-0.32,-0,-1.89296,-19.4847,-3.27462,0,0,-29.8616,-22.7593,0.31123
"5280378",80,Done,1.719,-4.76429,"glide-grid_1",-4.77269,-1.94593,0,-0,-1.57974,-27.624,-0.758834,0.247996,0,-36.5458,-28.3829,0.245675
"5281708",81,Done,1.437,-5.35999,"glide-grid_1",-5.36849,-2.22902,-0.0540292,-0,-1.67565,-27.8096,-1.94234,0.272039,0,-38.4814,-29.752,1.55114
"5283356",82,Done,18.547,1.98494,"glide-grid_1",1.98494,-1.96524,0,-0,-2.58586,-19.412,-0.608035,7.59785,0,-16.3191,-20.02,2.26694
"5315645",83,Done,2.235,-4.85455,"glide-grid_1",-4.85455,-2.22975,-0.32,-0,-1.95374,-13.5468,-4.66042,1.02534,0,-19.5852,-18.2072,7.4702
"5317082",84,Done,1.015,-4.33206,"glide-grid_1",-4.70256,-1.9577,0,-0,-1.9409,-20.598,-0.899084,0.360814,0,-26.5933,-21.4971,1.28246
"5317082",85,Done,1.344,-4.92291,"glide-grid_1",-5.37671,-2.18047,0,-0,-1.93403,-20.0151,-3.96055,0.357988,-0.0253589,-31.7563,-23.9757,1.47786
"5317806",86,Done,2.297,-4.24429,"glide-grid_1",-4.24429,-1.52497,0,-0,-0.774285,-30.2136,-2.8957,0,0,-42.0306,-33.1093,0.400146
"5317807",87,Done,2.094,-3.42173,"glide-grid_1",-3.42173,-1.0839,0,-0,-0.774285,-28.6992,-0.841785,0,-0.00232363,-35.3712,-29.541,0.378465
"5318565",88,Done,1.781,-5.86425,"glide-grid_1",-5.87435,-1.28453,-0.489276,-0,-1.89413,-23.102,-7.00875,0,0,-40.3909,-30.1108,0.284186
"5318635",89,Done,18.609,-1.29546,"glide-grid_1",-1.29546,-2.26146,0,-0,-2.38319,-23.1588,-0.463244,4.57663,0,-25.1695,-23.6221,0.676829
"5365891",90,Done,2.172,-3.17649,"glide-grid_1",-3.17649,-1.34401,-0.32,-0,-2.65317,-16.9891,-3.89822,2.57487,0,-23.417,-20.8873,2.75308
"6450812",91,Done,1.25,-4.57456,"glide-grid_1",-4.57456,-1.66331,0,-0,-2.01579,-18.997,0.362587,0,0,-20.2693,-18.6345,0
"6603886",92,Done,5.797,-6.61478,"glide-grid_1",-6.89178,-2.38249,-0.794964,-0,-1.80092,-27.4715,-8.96635,0.805117,0,-47.0716,-36.4378,8.28953
"6999975",93,Done,13.922,-1.04834,"glide-grid_1",-1.04834,-2.25199,-0.0412161,-0,-2.42705,-22.108,-1.28515,4.97009,0,-23.7777,-23.3931,2.14888
"7057972",94,Done,1.968,-5.07063,"glide-grid_1",-5.07063,-1.39124,-0.32,-0,-2.68719,-18.2768,-3.13173,0.7114,0,-27.0293,-21.4085,2.06689
"11495015",95,Done,2.485,-3.53355,"glide-grid_1",-3.53355,-1.1122,0,-0,-0.892353,-25.9728,-1.53442,0,-0.000201645,-33.4742,-27.5072,0.162819
"12303902",96,Done,1.406,-5.71285,"glide-grid_1",-5.71285,-2.56416,0,-0,-2.08619,-21.3533,0.0344623,0,0,-28.3706,-21.3188,0.0220668
"12444363",97,Done,1.438,-5.15996,"glide-grid_1",-5.15996,-1.64413,-0.317858,-0,-2.11955,-20.7111,-7.02106,1.01029,0,-37.27,-27.7322,0.19608
"12444363",98,Done,1.39,-4.5114,"glide-grid_1",-4.5114,-1.89332,0,-0,-2.02856,-19.8836,-4.03752,1.01029,0,-28.4482,-23.9212,4.93424
"14992068",99,Done,2.719,-4.45645,"glide-grid_1",-4.45645,-1.48541,-0.222452,-0,-0.777665,-30.4664,-2.98407,0,0,-42.1299,-33.4504,0.333204
