title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"5280378",80,Done,2.203,-6.25094,"glide-grid_1",-6.25934,-2.71762,-0.0243659,-0,-1.77023,-35.2878,-1.5382,0.247996,0,-50.8256,-36.826,0.655782
"5281708",81,Done,1.906,-5.69052,"glide-grid_1",-5.69902,-2.17248,0,-0,-1.81732,-33.6991,-1.97533,0.272039,0,-48.6071,-35.6745,0.400337
"5283356",82,Done,36.781,0.57179,"glide-grid_1",0.57179,-1.83843,-0.32,-0,-3.45,-22.4441,-1.96948,7.59785,0,-22.0395,-24.4136,3.09021
"5315645",83,Done,2.937,-4.55192,"glide-grid_1",-4.55192,-1.95126,-0.32,-0,-1.99296,-21.1614,-1.69986,1.02534,0,-27.2831,-22.8612,3.64164
"5317082",84,Done,1.313,-3.99391,"glide-grid_1",-4.36441,-1.11394,-0.0625207,-0,-1.9409,-23.8719,-2.7617,0.360814,0,-33.2963,-26.6336,1.3643
"5317082",85,Done,1.485,-4.63038,"glide-grid_1",-5.08418,-2.19584,0,-0,-1.93403,-18.5276,-2.45632,0.357988,-0.0174572,-29.6133,-20.984,0.00654896
"5317806",86,Done,3.344,-4.56831,"glide-grid_1",-4.56831,-1.34852,-0.16,-0,-0.774285,-35.1446,-3.3583,0,-0.0245258,-47.7391,-38.5029,1.03817
"5317807",87,Done,3.36,-4.291,"glide-grid_1",-4.291,-0.898822,-0.0444585,-0,-0.774285,-32.2953,-6.20081,0,-0.0285436,-47.2688,-38.4961,3.39409
"5318565",88,Done,1.921,-7.10566,"glide-grid_1",-7.11576,-2.77819,-0.310653,-0,-1.89413,-35.5299,-2.37523,0,0,-51.2754,-37.9052,0.972206
"5318635",89,Done,34.016,-1.87712,"glide-grid_1",-1.87712,-2.24181,-0.16,-0,-2.27193,-24.3876,-3.6259,4.57663,-0.0167465,-30.7119,-28.0135,1.43453
"5365891",90,Done,3.172,-3.14695,"glide-grid_1",-3.14695,-1.70211,-0.0769561,-0,-2.70515,-16.9369,-2.60514,2.57487,0,-23.0252,-19.542,1.2935
"6450812",91,Done,1.359,-5.00353,"glide-grid_1",-5.00353,-1.74933,0,-0,-2.01579,-25.2994,0.177045,0,0,-30.2019,-25.1224,0
"6603886",92,Done,8.906,-6.64038,"glide-grid_1",-6.91738,-1.65957,-0.387577,-0,-2.27334,-28.991,-13.0164,0.805117,0,-56.4148,-42.0074,7.0098
"6999975",93,Done,25.656,-0.792339,"glide-grid_1",-0.792339,-1.98314,-0.0355121,-0,-2.30667,-23.8394,-1.3365,4.97009,-0.0446603,-25.2475,-25.1759,2.35947
"7057972",94,Done,2.641,-4.33331,"glide-grid_1",-4.33331,-1.23037,0,-0,-2.67008,-17.1674,-1.90594,0.7114,0,-21.9297,-19.0733,4.11426
"11495015",95,Done,2.875,-4.31213,"glide-grid_1",-4.31213,-0.896115,-0.48,-0,-0.909394,-28.8411,-3.6498,0,-0.0370935,-39.5723,-32.4909,3.77442
"12303902",96,Done,1.531,-5.50932,"glide-grid_1",-5.50932,-2.55718,0,-0,-2.07412,-17.7014,0.0469508,0,0,-20.9731,-17.6545,2.60472
"12444363",97,Done,1.875,-4.24449,"glide-grid_1",-4.24449,-1.0226,-0.32,-0,-2.55234,-18.851,-2.78195,1.01029,0,-28.5767,-21.6329,0.89133
"12444363",98,Done,2.125,-4.78819,"glide-grid_1",-4.78819,-1.38295,-0.286305,-0,-2.54565,-23.5924,-2.69306,1.01029,0,-36.4924,-26.2855,0.15745
"14992068",99,Done,3.656,-4.01192,"glide-grid_1",-4.01192,-0.782647,-0.0886918,-0,-0.774285,-28.0145,-6.31066,0,-0.0189723,-42.2785,-34.3252,1.36637
