title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
736186,84,Done,0.797,-3.4706,glide-grid_13,-3.471,-0.24957,-0.299653,0,-2.09198,-13.3991,-6.37495,0.865196,-0.0687955,-27.7098,-19.7741,1.60013
1201518,85,Done,0.453,-4.92103,glide-grid_13,-4.92103,-0.836469,-0.32,0,-2.25,-17.7442,-4.1823,0,0,-28.3811,-21.9265,0.314252
1548883,86,Done,0.906,0.876402,glide-grid_13,-5.1937,-1.07871,0,0,-2.08511,-20.129,-12.3007,0.857756,-0.0360855,-37.8085,-32.4297,9.90662
1548883,87,Done,1,-4.32005,glide-grid_13,-4.32005,-0.596368,-0.671312,0,-2.09198,-14.081,-6.81024,0.865196,-0.1,-32.0303,-20.8912,2.11385
1548943,88,Done,22.703,-3.97926,glide-grid_13,-3.97926,-1.36143,-0.272948,0,-1.32674,-20.2712,-8.23857,1.24659,-0.0153981,-35.105,-28.5098,2.80482
1549025,89,Done,9.485,-3.27597,glide-grid_13,-3.27597,-2.02982,-0.16,0,-2.07066,-17.9922,-1.28683,2.10637,-0.0292291,-22.5706,-19.279,1.59365
1549106,90,Done,0.875,0.413016,glide-grid_13,-5.25778,-0.956649,-0.427012,0,-2.29598,-18.2827,-11.9599,1.12998,0,-39.169,-30.2426,2.61947
1549106,91,Done,0.687,-4.10857,glide-grid_13,-4.10857,-0.132735,-0.648647,0,-2.25,-9.56534,-11.0484,1.14131,-0.0829783,-30.0387,-20.6137,1.92749
3001662,92,Done,0.985,-3.59725,glide-grid_13,-3.59725,-0.62347,-0.18464,0,-0.942885,-27.5225,-3.13422,0,0,-37.4494,-30.6567,0.252951
3084331,93,Done,0.593,-4.20731,glide-grid_13,-4.20731,-0.86935,-0.236177,0,-1.89296,-16.3278,-2.61623,0,0,-24.6752,-18.9441,0.448884
5280378,94,Done,0.766,-5.81633,glide-grid_13,-5.84473,-1.57233,-0.32,0,-1.57975,-31.7864,-6.87552,0.247996,0,-52.373,-38.6619,0.201683
